ind;nb;folder;well_classed;alone_and_new
OCS_Letty;2;OCS_Letty;yes;no
OCS_Minus;5;OCS_Minus;yes;no
OFB_OCELLES_1300;1;OFB_OCELLES_1300;yes;yes
OFB_OCELLES_1353=L306;1;OFB_OCELLES_1353=L306;yes;yes
OFB_OCELLES_1376;4;OFB_OCELLES_1376;yes;no
OFB_OCELLES_1388;1;OFB_OCELLES_1388;yes;yes
OFB_SPOTS_1448;1;OFB_SPOTS_1448;yes;yes
OCS_Letty;1;lynx0;no;yes
OCS_Letty;1;lynx1;no;yes
